date,cell_id,lat_center,lon_center,t2m_max_c,rh_min_pct,wind10m_max_ms,precip_mm,vpd_kpa,ffmc,dmc,dc,isi,bui,fwi,fwi_proxy,ndvi,ndvi_anom_30d,veg_dryness_index,soil_moisture_surface_m3m3,soil_moisture_pct_of_normal,lightning_count,dry_lightning_count,lightning_probability,doy_sin,doy_cos,month_sin,month_cos,precip_3d_mm,precip_7d_mm,precip_30d_mm,dry_days_30d,lightning_count_prev_3d,dry_lightning_count_prev_3d,fire_count_today,frp_sum_today,fire_count_prev_7d,frp_sum_prev_7d,label_fire_count_next_1d,label_frp_sum_next_1d,label_fire_next_1d
2025-06-01,32.5000_-104.5000,32.5,-104.5,36.4,15,4.87,0.0,5.162,96.77,14.39,24.96,26.62,14.22,24.76,24.76,0.61,0.0,61.98,0.21,100.0,0.0,0.0,0.0,0.5027907197793043,-0.8644081744776648,1.2246467991473532e-16,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2.88,0,0.0,0,0.0,0
2025-06-02,32.5000_-104.5000,32.5,-104.5,35.5,15,9.2,1.1,4.913,96.67,22.58,34.75,57.63,22.34,49.55,49.55,0.61,0.0,61.53,0.21,100.0,0.0,0.0,0.0,0.4878471454423119,-0.8729290708206411,1.2246467991473532e-16,-1.0,1.1,1.1,1.1,1.0,0.0,0.0,0,0.0,2,2.88,2,2.17,1
2025-06-03,32.5000_-104.5000,32.5,-104.5,34.4,16,8.21,0.0,4.569,97.69,30.43,44.35,55.16,30.15,54.52,54.52,0.61,0.0,60.98,0.21,100.0,0.0,0.0,0.0,0.47275920928627757,-0.881191653407483,1.2246467991473532e-16,-1.0,1.1,1.1,1.1,2.0,0.0,0.0,2,2.17,2,2.88,2,4.69,1
2025-06-04,32.5000_-104.5000,32.5,-104.5,33.6,16,6.35,0.0,4.37,97.75,38.11,53.8,39.65,37.78,48.85,48.85,0.61,0.0,60.58,0.21,100.0,0.0,0.0,0.0,0.4575313760742512,-0.8891934772070711,1.2246467991473532e-16,-1.0,1.1,1.1,1.1,3.0,0.0,0.0,2,4.69,4,5.05,0,0.0,0
2025-06-05,32.5000_-104.5000,32.5,-104.5,34.3,27,6.91,0.3,3.948,95.86,44.91,63.38,34.08,44.56,47.75,47.75,0.61,0.0,60.47,0.21,100.0,0.0,0.0,0.0,0.44216815196707204,-0.8969321743510065,1.2246467991473532e-16,-1.0,0.3,1.4000000000000001,1.4000000000000001,4.0,0.0,0.0,0,0.0,6,9.74,1,1.76,1
2025-06-06,32.5000_-104.5000,32.5,-104.5,34.5,26,10.8,0.8,4.047,94.29,51.84,72.99,55.68,51.47,68.77,68.77,0.61,0.0,61.03,0.21,100.0,0.0,0.0,0.0,0.42667408318992467,-0.9044054548343001,1.2246467991473532e-16,-1.0,1.1,2.2,2.2,5.0,0.0,0.0,1,1.76,6,9.74,7,19.7,1
2025-06-07,32.5000_-104.5000,32.5,-104.5,40.0,5,8.94,0.0,7.007,99.57,62.12,83.59,80.58,61.68,92.33,92.33,0.61,0.0,63.78,0.21,100.0,0.0,0.0,0.0,0.4110537546870351,-0.9116111071930239,1.2246467991473532e-16,-1.0,1.1,2.2,2.2,6.0,0.0,0.0,7,19.7,7,11.5,1,1.39,1
2025-06-08,32.5000_-104.5000,32.5,-104.5,40.8,5,8.73,0.0,7.311,99.69,72.6,94.34,78.75,72.08,97.3,97.3,0.61,0.0,63.78,0.21,100.0,0.0,0.0,0.0,0.3953117887649151,-0.9185469991587165,1.2246467991473532e-16,-1.0,0.8,2.2,2.2,7.0,0.0,0.0,1,1.39,14,31.2,1,0.57,1
2025-06-09,32.5000_-104.5000,32.5,-104.5,39.4,4,9.1,0.0,6.857,99.75,82.84,104.84,84.91,82.24,107.36,107.36,0.61,0.0,63.48,0.21,100.0,0.0,0.0,0.0,0.37945284372454435,-0.925211078289358,1.2246467991473532e-16,-1.0,0.0,1.1,2.2,8.0,0.0,0.0,1,0.57,13,29.71,1,0.51,1
2025-06-10,32.5000_-104.5000,32.5,-104.5,33.6,16,8.13,3.0,4.37,94.66,71.19,111.18,36.09,70.81,60.85,60.85,0.61,0.0,60.58,0.21,100.0,0.0,0.0,0.0,0.36348161248290634,-0.9316013725767187,1.2246467991473532e-16,-1.0,3.0,4.1,5.2,8.0,0.0,0.0,1,0.51,14,30.28,0,0.0,0
2025-06-11,32.5000_-104.5000,32.5,-104.5,31.2,23,3.87,0.0,3.499,95.66,77.73,120.2,19.13,77.32,42.61,42.61,0.61,0.0,54.99,0.21,100.0,0.0,0.0,0.0,0.3474028211842774,-0.9377159910299093,1.2246467991473532e-16,-1.0,3.0,4.1,5.2,9.0,0.0,0.0,0,0.0,13,28.62,1,0.54,1
