detection_id,latitude,longitude,acq_datetime_utc,confidence,frp_mw,instrument,satellite,daynight,lat_center,lon_center,cell_id,event_date
39.7464_-104.6802_2025-06-01 08:06:00+00:00,39.74636,-104.68016,2025-06-01 08:06:00+00:00,,0.68,VIIRS,N20,N,39.5,-104.5,39.5000_-104.5000,2025-06-01
39.8047_-104.9474_2025-06-01 08:06:00+00:00,39.80469,-104.94742,2025-06-01 08:06:00+00:00,,0.95,VIIRS,N20,N,39.5,-104.5,39.5000_-104.5000,2025-06-01
40.0906_-104.8878_2025-06-01 08:06:00+00:00,40.09061,-104.88784,2025-06-01 08:06:00+00:00,,0.78,VIIRS,N20,N,40.5,-104.5,40.5000_-104.5000,2025-06-01
40.093_-110.3716_2025-06-01 08:06:00+00:00,40.09298,-110.3716,2025-06-01 08:06:00+00:00,,0.43,VIIRS,N20,N,40.5,-110.5,40.5000_-110.5000,2025-06-01
40.0946_-110.3684_2025-06-01 08:06:00+00:00,40.09465,-110.3684,2025-06-01 08:06:00+00:00,,0.31,VIIRS,N20,N,40.5,-110.5,40.5000_-110.5000,2025-06-01
41.1643_-106.4681_2025-06-01 08:06:00+00:00,41.16427,-106.46812,2025-06-01 08:06:00+00:00,,2.22,VIIRS,N20,N,41.5,-106.5,41.5000_-106.5000,2025-06-01
41.2673_-105.6036_2025-06-01 08:06:00+00:00,41.26733,-105.60359,2025-06-01 08:06:00+00:00,,0.99,VIIRS,N20,N,41.5,-105.5,41.5000_-105.5000,2025-06-01
41.7802_-107.1112_2025-06-01 08:06:00+00:00,41.78024,-107.1112,2025-06-01 08:06:00+00:00,,0.78,VIIRS,N20,N,41.5,-107.5,41.5000_-107.5000,2025-06-01
41.7818_-107.1094_2025-06-01 08:06:00+00:00,41.78183,-107.10942,2025-06-01 08:06:00+00:00,,1.7,VIIRS,N20,N,41.5,-107.5,41.5000_-107.5000,2025-06-01
32.8499_-104.3932_2025-06-01 08:08:00+00:00,32.84988,-104.39325,2025-06-01 08:08:00+00:00,,1.54,VIIRS,N20,N,32.5,-104.5,32.5000_-104.5000,2025-06-01
40.2018_-105.2369_2025-06-01 09:46:00+00:00,40.2018,-105.23692,2025-06-01 09:46:00+00:00,,0.89,VIIRS,N20,N,40.5,-105.5,40.5000_-105.5000,2025-06-01
41.162_-106.4683_2025-06-01 09:46:00+00:00,41.16195,-106.46832,2025-06-01 09:46:00+00:00,,0.66,VIIRS,N20,N,41.5,-106.5,41.5000_-106.5000,2025-06-01
41.2704_-105.6017_2025-06-01 09:46:00+00:00,41.27045,-105.60168,2025-06-01 09:46:00+00:00,,1.24,VIIRS,N20,N,41.5,-105.5,41.5000_-105.5000,2025-06-01
