date,t2m_max_c,rh_min_pct,wind10m_max_ms,precip_mm,lat_center,lon_center,cell_id
2026-04-04,14.8,75,7.68,0.0,32.5,-123.5,32.5000_-123.5000
2026-04-05,14.6,81,7.79,0.0,32.5,-123.5,32.5000_-123.5000
2026-04-06,15.4,81,8.92,0.0,32.5,-123.5,32.5000_-123.5000
2026-04-07,15.8,82,7.03,0.0,32.5,-123.5,32.5000_-123.5000
2026-04-08,16.5,85,6.66,0.0,32.5,-123.5,32.5000_-123.5000
2026-04-09,16.8,84,5.03,0.5,32.5,-123.5,32.5000_-123.5000
2026-04-10,16.2,80,6.22,0.3,32.5,-123.5,32.5000_-123.5000
2026-04-04,15.4,76,7.68,0.0,32.5,-122.5,32.5000_-122.5000
2026-04-05,15.2,85,7.8,0.0,32.5,-122.5,32.5000_-122.5000
2026-04-06,15.4,82,9.36,0.0,32.5,-122.5,32.5000_-122.5000
2026-04-07,15.9,81,8.94,0.0,32.5,-122.5,32.5000_-122.5000
2026-04-08,16.4,85,8.82,0.0,32.5,-122.5,32.5000_-122.5000
2026-04-09,17.0,87,6.36,0.0,32.5,-122.5,32.5000_-122.5000
2026-04-10,17.0,79,6.28,1.5,32.5,-122.5,32.5000_-122.5000
2026-04-04,15.9,78,7.16,0.0,32.5,-121.5,32.5000_-121.5000
2026-04-05,15.8,84,7.67,0.0,32.5,-121.5,32.5000_-121.5000
2026-04-06,15.6,80,9.63,0.0,32.5,-121.5,32.5000_-121.5000
2026-04-07,16.0,81,10.05,0.0,32.5,-121.5,32.5000_-121.5000
2026-04-08,16.4,79,10.68,0.0,32.5,-121.5,32.5000_-121.5000
2026-04-09,17.2,87,8.08,0.0,32.5,-121.5,32.5000_-121.5000
2026-04-10,17.2,81,6.6,2.0,32.5,-121.5,32.5000_-121.5000
2026-04-04,15.9,81,7.26,0.0,32.5,-120.5,32.5000_-120.5000
2026-04-05,15.9,86,6.74,0.0,32.5,-120.5,32.5000_-120.5000
2026-04-06,15.6,83,9.62,0.0,32.5,-120.5,32.5000_-120.5000
2026-04-07,16.0,81,11.96,0.0,32.5,-120.5,32.5000_-120.5000
2026-04-08,16.5,76,13.25,0.0,32.5,-120.5,32.5000_-120.5000
2026-04-09,16.8,88,10.24,0.0,32.5,-120.5,32.5000_-120.5000
2026-04-10,16.9,80,5.87,1.5,32.5,-120.5,32.5000_-120.5000
2026-04-04,16.8,85,4.18,0.0,32.5,-119.5,32.5000_-119.5000
2026-04-05,16.6,85,6.34,0.0,32.5,-119.5,32.5000_-119.5000
2026-04-06,16.1,82,9.3,0.0,32.5,-119.5,32.5000_-119.5000
2026-04-07,16.5,78,11.56,0.0,32.5,-119.5,32.5000_-119.5000
2026-04-08,17.1,75,11.53,0.0,32.5,-119.5,32.5000_-119.5000
2026-04-09,17.4,84,12.26,0.0,32.5,-119.5,32.5000_-119.5000
2026-04-10,17.1,80,6.24,2.9,32.5,-119.5,32.5000_-119.5000
2026-04-04,17.4,82,4.6,0.0,32.5,-118.5,32.5000_-118.5000
