date,t2m_max_c,rh_min_pct,wind10m_max_ms,precip_mm,lat_center,lon_center,cell_id
2025-06-01,16.0,82,10.2,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-02,15.9,74,10.43,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-03,16.2,75,6.67,0.2,32.5,-123.5,32.5000_-123.5000
2025-06-04,16.2,78,5.31,0.1,32.5,-123.5,32.5000_-123.5000
2025-06-05,15.6,77,5.14,0.2,32.5,-123.5,32.5000_-123.5000
2025-06-06,15.8,76,3.46,0.2,32.5,-123.5,32.5000_-123.5000
2025-06-07,16.0,76,2.91,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-08,16.5,75,5.21,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-09,16.5,76,8.5,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-10,16.0,85,9.17,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-11,16.1,83,10.2,0.4,32.5,-123.5,32.5000_-123.5000
2025-06-12,15.9,79,10.53,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-13,15.9,81,10.93,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-14,15.5,82,10.14,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-15,15.6,84,10.34,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-16,15.6,84,11.51,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-17,16.0,83,10.54,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-18,16.2,84,12.15,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-19,16.2,83,12.36,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-20,15.6,71,13.22,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-21,15.7,69,13.51,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-22,15.5,78,14.53,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-23,15.9,78,12.48,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-24,15.9,79,10.67,0.2,32.5,-123.5,32.5000_-123.5000
2025-06-25,15.7,78,7.97,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-26,15.6,85,10.42,0.0,32.5,-123.5,32.5000_-123.5000
2025-06-27,15.4,84,10.51,0.1,32.5,-123.5,32.5000_-123.5000
2025-06-28,15.5,88,9.19,0.3,32.5,-123.5,32.5000_-123.5000
2025-06-29,15.5,87,7.6,0.9,32.5,-123.5,32.5000_-123.5000
2025-06-30,15.6,87,8.12,1.2,32.5,-123.5,32.5000_-123.5000
2025-07-01,16.0,87,7.72,0.3,32.5,-123.5,32.5000_-123.5000
2025-07-02,16.0,86,9.14,0.1,32.5,-123.5,32.5000_-123.5000
2025-07-03,16.0,83,10.96,0.0,32.5,-123.5,32.5000_-123.5000
2025-07-04,15.9,83,9.64,0.0,32.5,-123.5,32.5000_-123.5000
2025-07-05,16.4,85,10.32,0.0,32.5,-123.5,32.5000_-123.5000
2025-07-06,16.2,77,10.2,0.0,32.5,-123.5,32.5000_-123.5000
2025-07-07,16.7,78,9.1,0.5,32.5,-123.5,32.5000_-123.5000
2025-07-08,17.7,81,5.33,0.1,32.5,-123.5,32.5000_-123.5000
2025-07-09,17.8,81,8.6,0.0,32.5,-123.5,32.5000_-123.5000
2025-07-10,16.6,84,10.78,0.0,32.5,-123.5,32.5000_-123.5000
